Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
json/json [16257B]/megaparsec  (Text),3.3479394376988024e-3,3.2655748794196654e-3,3.4632563258796185e-3,2.662565153764585e-4,1.953531826626888e-4,3.8343750127694496e-4
nested/nested [101B]/typed-peg   (String),1.3380492064535059e-5,1.3166816887203037e-5,1.3635342190857351e-5,6.574726136836989e-7,5.307498239278518e-7,8.24116188274849e-7
nested/nested [101B]/megaparsec  (String),1.0241911931442894e-5,1.0050235004892001e-5,1.0479690088984802e-5,5.780129170654546e-7,4.842233872057611e-7,7.867100646471467e-7
nested/nested [101B]/megaparsec  (Text),1.6658447109351525e-5,1.628060889080087e-5,1.6979326283282183e-5,1.0930539470844516e-6,8.581250291959389e-7,1.4046566062793805e-6
nested/nested [401B]/typed-peg   (String),5.865157477935094e-5,5.637023844986147e-5,6.233083626788055e-5,8.241306340631952e-6,5.837282860792004e-6,1.0701999870115988e-5
nested/nested [401B]/megaparsec  (String),6.037399167876571e-5,5.74345080642788e-5,6.3233168373093e-5,8.929208953124565e-6,7.0737314376486165e-6,1.1940055379344857e-5
nested/nested [401B]/megaparsec  (Text),8.182399692683525e-5,7.696371887683503e-5,8.727493149997927e-5,1.4405180348441042e-5,1.2433266812424477e-5,1.6557144072484555e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
arith/arith [308B]/typed-peg   (String),6.29682553504687e-5,6.101227234121968e-5,6.644048602742402e-5,8.213962017698246e-6,5.280230713779697e-6,1.2051488304610072e-5
arith/arith [308B]/megaparsec  (String),8.246989986097232e-5,7.878020977841896e-5,8.654960762782769e-5,1.3733654884066423e-5,1.1362736391394205e-5,1.7976659876991765e-5
arith/arith [308B]/megaparsec  (Text),1.0408465695237328e-4,9.723982606651594e-5,1.1139930326541714e-4,2.284080329295192e-5,1.958666412774297e-5,2.764391416285868e-5
arith/arith [1230B]/typed-peg   (String),3.0823552552778244e-4,2.926762285728997e-4,3.2710693755210254e-4,5.6997588619982274e-5,4.0987237136902e-5,7.588117605612426e-5
arith/arith [1230B]/megaparsec  (String),2.2835619893140933e-4,2.2369627378772145e-4,2.418341583527402e-4,2.3756829837184202e-5,5.642239347347973e-6,4.9520590033554845e-5
arith/arith [1230B]/megaparsec  (Text),2.8347720439175544e-4,2.685279741805419e-4,3.1193897228026996e-4,6.224103271912194e-5,3.371384212726186e-5,8.759699241377614e-5
arith/arith [4897B]/typed-peg   (String),1.0223626516227963e-3,1.0118887820423012e-3,1.0558022579611026e-3,5.4858010941669e-5,2.1619286380820538e-5,1.0756499963662343e-4
arith/arith [4897B]/megaparsec  (String),9.45128213682162e-4,9.142956739756942e-4,1.0004000176409894e-3,1.294080281549863e-4,8.522878270191332e-5,1.8094608040328006e-4
arith/arith [4897B]/megaparsec  (Text),1.41992275424035e-3,1.3513531689190975e-3,1.4963562469745282e-3,2.3328983482822765e-4,1.9460267597376e-4,3.042766244875276e-4
csv/csv [1105B]/typed-peg   (String),1.994471861234952e-4,1.88568193790024e-4,2.17453221784948e-4,4.2747824029014426e-5,3.122343980174696e-5,6.11789125661027e-5
csv/csv [1105B]/megaparsec  (String),2.627257409900738e-4,2.471109368626229e-4,2.7813454495660266e-4,5.565908964837511e-5,4.4657408115205194e-5,7.182663610538847e-5
csv/csv [1105B]/megaparsec  (Text),2.5433004222679e-4,2.4439013082329695e-4,2.744740324537369e-4,4.543130739832173e-5,2.607284852436152e-5,6.990085424901472e-5
csv/csv [5517B]/typed-peg   (String),1.429322799723614e-3,1.3167625068168601e-3,1.5674273280542658e-3,4.1372080541869736e-4,3.27318364154394e-4,5.081764469491106e-4
csv/csv [5517B]/megaparsec  (String),1.5819514453366086e-3,1.4411483424675686e-3,1.7236870422764315e-3,5.022677915310696e-4,4.288412056592656e-4,5.973219476110008e-4
csv/csv [5517B]/megaparsec  (Text),1.4858345127020931e-3,1.3838935812899595e-3,1.6388573406052444e-3,4.081041393995874e-4,3.2011870619492766e-4,5.168308182694836e-4
csv/csv [22043B]/typed-peg   (String),1.0542865625037789e-2,1.0120177497510104e-2,1.1095658545286402e-2,1.2191451619715118e-3,8.208817831224511e-4,1.934730322718623e-3
csv/csv [22043B]/megaparsec  (String),7.7387349310777676e-3,6.862193495343283e-3,8.62134148246723e-3,2.6258540471292956e-3,2.3240410277574016e-3,3.046951983273681e-3
csv/csv [22043B]/megaparsec  (Text),5.792128010421731e-3,5.666893391191139e-3,6.002845797211988e-3,4.72360106042755e-4,3.500371095299645e-4,6.228772049207928e-4
idents/idents [799B]/typed-peg   (String),3.82369292342069e-5,3.3860540874459774e-5,4.4394792018820884e-5,1.52681155905504e-5,1.064286828248883e-5,1.9067502723248036e-5
idents/idents [799B]/megaparsec  (String),4.5833237227672896e-5,4.2496402128919344e-5,4.9044208002513684e-5,1.0446285722530421e-5,8.388594442959725e-6,1.2886265096009124e-5
idents/idents [799B]/megaparsec  (Text),7.263269217938081e-5,6.643309285843357e-5,8.007771770342084e-5,2.1068373863132512e-5,1.8008235504855093e-5,2.4874924537412187e-5
idents/idents [3999B]/typed-peg   (String),2.9736205782561194e-4,2.87943262013473e-4,3.0880928079281695e-4,3.22993988868559e-5,2.5537106436573174e-5,4.086519484247943e-5
idents/idents [3999B]/megaparsec  (String),1.990371388754091e-4,1.919364039621156e-4,2.0869313493178363e-4,2.7051903945950782e-5,2.085380332840022e-5,3.980832893409998e-5
idents/idents [3999B]/megaparsec  (Text),4.117735708545698e-4,3.843318037858724e-4,4.412067000563877e-4,1.0202745426729994e-4,8.830903105082565e-5,1.2155327287031772e-4
idents/idents [15999B]/typed-peg   (String),1.1154670067912884e-3,1.0400353774088823e-3,1.2015465362309238e-3,2.621000361546777e-4,2.186284204100685e-4,3.148898468929067e-4
idents/idents [15999B]/megaparsec  (String),8.111057610560717e-4,7.622360774978456e-4,8.646302812116563e-4,1.7653712401652892e-4,1.4998417330663245e-4,2.390223886877264e-4
idents/idents [15999B]/megaparsec  (Text),1.9263379186851678e-3,1.8618243054556653e-3,2.008564690924784e-3,2.3686648819702284e-4,1.7481045914789696e-4,3.1721337056007633e-4
json/json [811B]/typed-peg   (String),1.2017773164713804e-4,1.173432967952259e-4,1.2485559840080994e-4,1.230406751982443e-5,7.987958394570733e-6,2.0128812647316855e-5
json/json [811B]/megaparsec  (String),1.0731216140569716e-4,1.0463273092175774e-4,1.1153969919199939e-4,1.1620936133524889e-5,7.810394612264365e-6,1.9906872049699158e-5
json/json [811B]/megaparsec  (Text),1.571458921177758e-4,1.5497762426291926e-4,1.6050597894641354e-4,8.816464733868123e-6,6.395142099705666e-6,1.168728082716404e-5
json/json [4062B]/typed-peg   (String),5.35099045551029e-4,5.218957523227779e-4,5.554979632333427e-4,5.448955047857829e-5,3.7085037798288555e-5,8.567948139248148e-5
json/json [4062B]/megaparsec  (String),4.2519751712778156e-4,4.164417240325456e-4,4.4920158443896915e-4,4.2584843626298625e-5,2.3235152903993375e-5,8.151565542678212e-5
json/json [4062B]/megaparsec  (Text),6.831464206275758e-4,6.683524488823861e-4,6.98646631326806e-4,5.159740310633689e-5,4.316053872448252e-5,6.377361694959361e-5
json/json [16257B]/typed-peg   (String),3.6363900186290395e-3,3.542697208733624e-3,3.7467667518682455e-3,3.3059187432609295e-4,2.742063009082426e-4,4.2313173892887375e-4
json/json [16257B]/megaparsec  (String),3.8003904593192474e-3,3.477606135217606e-3,4.107330919496803e-3,9.073558710083933e-4,7.646963781024783e-4,1.0694093545964983e-3
json/json [16257B]/megaparsec  (Text),5.523045713433968e-3,5.1246977366710515e-3,6.0189849717990785e-3,1.3046151967250057e-3,9.77683655227399e-4,2.2020015120134376e-3
nested/nested [101B]/typed-peg   (String),1.6132071305004667e-5,1.5615405479998172e-5,1.6766484034118212e-5,1.927589380367406e-6,1.5451596721966293e-6,2.4130091911799983e-6
nested/nested [101B]/megaparsec  (String),1.4021741084195685e-5,1.3035700130157739e-5,1.566123668895372e-5,3.79416324963831e-6,2.591404553809585e-6,5.382120225155032e-6
nested/nested [101B]/megaparsec  (Text),2.155998589800673e-5,2.0251426379907435e-5,2.3543188449913224e-5,5.752683626987772e-6,3.837401211476685e-6,9.524012203285775e-6
nested/nested [401B]/typed-peg   (String),5.280950804191179e-5,5.111459793169207e-5,5.5612966487431647e-5,6.981321537852569e-6,4.426684474014395e-6,1.1137079354198356e-5
nested/nested [401B]/megaparsec  (String),3.910239770409696e-5,3.846004463028549e-5,4.0018096619903615e-5,2.4074538247389795e-6,1.9077881231636035e-6,3.702150486771008e-6
nested/nested [401B]/megaparsec  (Text),6.685339526421851e-5,6.47510794359543e-5,7.092360043016568e-5,9.889995692127916e-6,5.072785095765839e-6,1.563339000832401e-5
"quoted/quoted [749B]/typed-peg   (!'""' .)*",3.700140698115264e-5,3.602627004494595e-5,3.886262711535403e-5,4.6643203308022455e-6,2.809765542980383e-6,7.499500600479115e-6
