Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
json/json [16257B]/typed-peg   (String),6.802182135619207e-3,6.242153184400153e-3,7.450825501251107e-3,1.7792097581075614e-3,1.4620672335391971e-3,2.327865545172317e-3
json/json [16257B]/typed-peg   (Text),9.536310560494404e-3,8.863027225699826e-3,1.1132940459821232e-2,2.6288663932871534e-3,1.5705170425711528e-3,4.3898887338446515e-3
json/json [16257B]/typed-peg   (ByteString),6.342986132105132e-3,5.911891077269231e-3,6.807654198142756e-3,1.2149183237550173e-3,1.0295630842216661e-3,1.6350035864049525e-3
json/json [16257B]/megaparsec  (String),6.571585990218117e-3,6.109678415219197e-3,7.088395435164622e-3,1.3630844934538497e-3,1.093595507122487e-3,1.77516496568755e-3
json/json [16257B]/megaparsec  (Text),1.0676784115228601e-2,9.899834755432081e-3,1.1861907202385604e-2,2.574678529631822e-3,1.6367247870476105e-3,3.8104462359130915e-3
nested/nested [101B]/typed-peg   (String),4.408893134862393e-5,3.908182625169618e-5,5.0105844253815826e-5,1.79019273536179e-5,1.3240493730324716e-5,2.2585989624213253e-5
nested/nested [101B]/typed-peg   (Text),4.295336270272737e-5,3.9468935525975605e-5,4.714122497286304e-5,1.219599602734288e-5,9.38647986352797e-6,1.600077003797537e-5
nested/nested [101B]/typed-peg   (ByteString),3.590614175756019e-5,3.2872792511250974e-5,4.050265629394579e-5,1.2398487697636792e-5,9.00388910926466e-6,1.7224132802776344e-5
nested/nested [101B]/megaparsec  (String),3.5066926989270995e-5,3.1731329818299304e-5,3.918855810155077e-5,1.2969686896607589e-5,1.0303269218786468e-5,1.653928344227662e-5
nested/nested [101B]/megaparsec  (Text),5.1027671816175097e-5,4.6054572587616234e-5,5.7940875445211174e-5,1.9768100232706596e-5,1.557457784749319e-5,2.810881376884988e-5
nested/nested [401B]/typed-peg   (String),1.5725472790742803e-4,1.4336373217156126e-4,1.8150828665528928e-4,5.9114078822442175e-5,4.0238225601568646e-5,9.036643694775823e-5
nested/nested [401B]/typed-peg   (Text),1.4985036660270312e-4,1.3610012178481997e-4,1.6737247073535862e-4,5.511377388799004e-5,4.0912012497128865e-5,8.135531915192298e-5
nested/nested [401B]/typed-peg   (ByteString),1.206170263480195e-4,1.1528441492361091e-4,1.2655302081311838e-4,1.8363190436583434e-5,1.5586952758436246e-5,2.202252508875516e-5
nested/nested [401B]/megaparsec  (String),1.317190602216611e-4,1.1939661230508473e-4,1.482064049024584e-4,4.890785681323383e-5,3.590661851365062e-5,6.57618352647367e-5
nested/nested [401B]/megaparsec  (Text),1.928508438687546e-4,1.7393922653989962e-4,2.1879864102118327e-4,7.817540049556274e-5,5.8910711961415756e-5,9.99785061480407e-5
quoted-lookahead/quoted-lookahead [749B]/typed-peg   (String),1.0393089230505591e-4,9.468570126278956e-5,1.178134686779731e-4,3.665731169421993e-5,2.45240032902014e-5,5.411686428189615e-5
quoted-lookahead/quoted-lookahead [749B]/typed-peg   (Text),1.1818866661599481e-4,1.0982941335468637e-4,1.300194878376689e-4,3.35092060065089e-5,2.586562502952995e-5,4.335526499388982e-5
quoted-lookahead/quoted-lookahead [749B]/typed-peg   (ByteString),1.0955341507059973e-4,1.0017006790053192e-4,1.2081919401949751e-4,3.703502075060839e-5,2.8067083146072188e-5,4.877392486993493e-5
quoted-lookahead/quoted-lookahead [749B]/megaparsec  (String),4.5766874031837664e-5,4.258806212357583e-5,5.10579992716678e-5,1.2527433771736133e-5,8.431329561775211e-6,1.9460489952357585e-5
quoted-lookahead/quoted-lookahead [749B]/megaparsec  (Text),1.2052364432172828e-4,1.1057694284092941e-4,1.348940544144524e-4,4.1072661359037226e-5,3.1062592701305084e-5,5.390859112476762e-5
quoted-lookahead/quoted-lookahead [2999B]/typed-peg   (String),4.402738068738251e-4,4.006921395369177e-4,4.937989756179406e-4,1.594828092012633e-4,9.645012114313898e-5,2.3627779464848527e-4
quoted-lookahead/quoted-lookahead [2999B]/typed-peg   (Text),5.311375644343215e-4,4.8480349590481836e-4,5.972732028370263e-4,1.6675369694215018e-4,1.2321123513933422e-4,2.416551235379065e-4
quoted-lookahead/quoted-lookahead [2999B]/typed-peg   (ByteString),4.638382900063466e-4,4.1831853575529873e-4,5.212179504889221e-4,1.7036776107339942e-4,1.29172350387064e-4,2.4301367836728223e-4
quoted-lookahead/quoted-lookahead [2999B]/megaparsec  (String),2.148093829650087e-4,1.9284257259494117e-4,2.407625541720639e-4,7.93084960770358e-5,6.315851177330298e-5,9.886491991263903e-5
quoted-lookahead/quoted-lookahead [2999B]/megaparsec  (Text),4.861721887922536e-4,4.3884874565571104e-4,5.461813753267406e-4,1.7702434379507907e-4,1.3576838921039013e-4,2.2955897006583128e-4
quoted-class/quoted-class [749B]/typed-peg   (String),5.926083565672368e-5,5.475954972722067e-5,6.716976340741678e-5,2.0221297163003163e-5,1.3537808976840936e-5,3.324343977467776e-5
quoted-class/quoted-class [749B]/typed-peg   (Text),7.630938739272658e-5,6.988588335580226e-5,8.660907223627059e-5,2.4527699711499242e-5,1.8067721869440293e-5,3.620369149904994e-5
quoted-class/quoted-class [749B]/typed-peg   (ByteString),3.805668608315999e-5,3.4506662901025364e-5,4.354509850310525e-5,1.4244553938626224e-5,1.0701035529113727e-5,2.2311468617732537e-5
quoted-class/quoted-class [749B]/megaparsec  (String),5.092627645370837e-5,4.686648395635991e-5,5.6991602927823055e-5,1.6007750426188716e-5,1.1394078220759744e-5,2.2310309502550096e-5
quoted-class/quoted-class [749B]/megaparsec  (Text),1.1493246555218013e-4,1.0607707415937608e-4,1.315554570663431e-4,3.8210192167996016e-5,2.319516998465129e-5,6.5913033998173e-5
quoted-class/quoted-class [2999B]/typed-peg   (String),2.9273823681871385e-4,2.610942693172596e-4,3.488476314256061e-4,1.3483440177822204e-4,9.22716659370921e-5,1.9549708806190988e-4
quoted-class/quoted-class [2999B]/typed-peg   (Text),3.2668843566676997e-4,2.9283424793178557e-4,3.789084713877243e-4,1.3420809472055532e-4,8.341707009741986e-5,1.9287689320364004e-4
quoted-class/quoted-class [2999B]/typed-peg   (ByteString),1.8052141427600632e-4,1.6081755162740982e-4,2.1229527792894986e-4,7.86328620641974e-5,6.160990144359696e-5,1.0020915831767879e-4
quoted-class/quoted-class [2999B]/megaparsec  (String),1.9635136964194172e-4,1.8181313031307e-4,2.128625065762007e-4,5.6513678055596045e-5,4.604553548957688e-5,6.907885989977512e-5
quoted-class/quoted-class [2999B]/megaparsec  (Text),5.177689427295309e-4,4.6457610644001286e-4,5.880885507656424e-4,1.9834308701084124e-4,1.4836986866435836e-4,2.608882493310509e-4
